step,train_loss,learning_rate,tokens_per_sec
1730,2.431493,1.89e-04,204.4
1740,2.536150,1.88e-04,208.5
1750,2.380955,1.88e-04,195.9
1760,2.300513,1.88e-04,191.8
1770,1.976604,1.88e-04,177.6
1780,2.179402,1.88e-04,206.3
1790,2.137484,1.88e-04,184.7
1800,2.474529,1.87e-04,204.6
1810,2.045556,1.87e-04,197.7
1820,2.371556,1.87e-04,217.6
1830,2.352780,1.87e-04,222.8
1840,1.984854,1.87e-04,192.2
1850,2.125174,1.87e-04,204.7
1860,1.838953,1.87e-04,181.3
1870,1.835135,1.86e-04,196.9
1880,2.203586,1.86e-04,210.5
1890,2.102413,1.86e-04,198.1
1900,1.682362,1.86e-04,167.0
1910,2.313488,1.86e-04,207.8
1920,2.235003,1.85e-04,217.7
1930,2.079928,1.85e-04,197.1
1940,2.098013,1.85e-04,196.0
1950,2.342696,1.85e-04,222.5
1960,2.197561,1.85e-04,213.7
1970,2.083456,1.85e-04,207.3
1980,2.065131,1.84e-04,204.6
1990,2.274662,1.84e-04,226.5
2000,1.973265,1.84e-04,200.4
2010,2.230854,1.84e-04,216.2
2020,2.081067,1.84e-04,204.9
2030,1.825687,1.84e-04,193.3
2040,1.744806,1.83e-04,191.4
2050,2.172469,1.83e-04,221.2
2060,1.847075,1.83e-04,192.2
2070,1.751594,1.83e-04,186.8
2080,1.642134,1.83e-04,179.6
2090,1.950417,1.82e-04,196.4
2100,2.140513,1.82e-04,212.2
2110,1.783424,1.82e-04,202.2
2120,2.170177,1.82e-04,204.9
2130,1.962724,1.82e-04,206.1
2140,1.927097,1.81e-04,202.1
2150,2.004687,1.81e-04,199.2
2160,2.259853,1.81e-04,227.5
2170,1.736448,1.81e-04,190.0
2180,1.915972,1.81e-04,205.3
2190,2.026229,1.80e-04,207.1
2200,1.645949,1.80e-04,181.8
2210,2.104737,1.80e-04,208.0
2220,2.445040,1.80e-04,228.7
2230,2.078561,1.80e-04,206.7
2240,1.920144,1.79e-04,209.7
2250,1.977697,1.79e-04,204.1
2260,1.683430,1.79e-04,203.2
2270,1.828237,1.79e-04,201.6
2280,1.854454,1.79e-04,193.3
2290,2.078687,1.78e-04,210.8
2300,1.858776,1.78e-04,206.0
2310,1.716578,1.78e-04,195.6
2320,2.103894,1.78e-04,222.8
2330,2.164753,1.78e-04,230.0
2340,1.883475,1.77e-04,219.2
2350,2.088776,1.77e-04,206.6
2360,1.714706,1.77e-04,202.4
2370,2.126426,1.77e-04,219.3
2380,2.066046,1.77e-04,222.2
2390,1.957593,1.76e-04,221.8
2400,2.019297,1.76e-04,214.7
2410,1.857468,1.76e-04,209.5
2420,1.709974,1.76e-04,204.7
2430,1.764645,1.75e-04,197.7
2440,1.910457,1.75e-04,211.2
2450,1.567966,1.75e-04,181.0
2460,1.796103,1.75e-04,206.9
2470,1.900965,1.75e-04,206.3
2480,1.951543,1.74e-04,217.3
2490,1.702522,1.74e-04,203.0
2500,1.969477,1.74e-04,206.7
2510,2.109099,1.74e-04,224.9
2520,1.850659,1.73e-04,207.4
2530,1.815556,1.73e-04,206.5
2540,1.761779,1.73e-04,207.3
2550,1.815192,1.73e-04,209.0
2560,1.780558,1.73e-04,214.3
2570,1.722955,1.72e-04,209.8
2580,1.880494,1.72e-04,217.1
2590,2.018874,1.72e-04,220.9
2600,1.892435,1.72e-04,216.5
2610,1.561960,1.71e-04,194.1
2620,1.729365,1.71e-04,206.2
2630,1.566990,1.71e-04,200.7
2640,1.934252,1.71e-04,216.2
2650,1.854426,1.70e-04,204.4
2660,1.739455,1.70e-04,200.3
2670,1.800369,1.70e-04,221.8
2680,1.767307,1.70e-04,209.3
2690,1.756221,1.70e-04,199.6
2700,1.854108,1.69e-04,221.7
2710,1.848628,1.69e-04,213.7
2720,1.381775,1.69e-04,170.5
2730,1.478720,1.69e-04,186.3
2740,1.739291,1.68e-04,215.1
2750,1.657379,1.68e-04,207.3
2760,1.934917,1.68e-04,232.2
2770,1.887324,1.68e-04,221.6
2780,1.730914,1.67e-04,214.0
2790,1.786811,1.67e-04,213.7
2800,1.683406,1.67e-04,215.2
2810,1.502612,1.67e-04,186.8
2820,1.983862,1.66e-04,224.8
2830,1.705207,1.66e-04,207.5
2840,1.418507,1.66e-04,185.1
2850,1.900049,1.66e-04,216.3
2860,1.687146,1.65e-04,209.8
2870,1.685098,1.65e-04,211.7
2880,1.844510,1.65e-04,213.4
2890,1.637340,1.65e-04,207.1
2900,1.714587,1.64e-04,201.1
2910,1.537844,1.64e-04,194.5
2920,1.660006,1.64e-04,203.3
2930,1.743693,1.64e-04,208.5
2940,1.578860,1.63e-04,200.4
2950,1.635429,1.63e-04,214.2
2960,1.908149,1.63e-04,216.9
2970,1.716532,1.63e-04,199.4
2980,1.600044,1.62e-04,203.3
2990,1.571427,1.62e-04,193.1
3000,1.614488,1.62e-04,203.6
3010,1.522785,1.61e-04,198.2
3020,1.793771,1.61e-04,223.7
3030,1.847108,1.61e-04,211.1
3040,1.686934,1.61e-04,217.8
3050,1.586408,1.60e-04,205.8
3060,1.805172,1.60e-04,222.3
3070,1.466054,1.60e-04,195.1
3080,1.728908,1.60e-04,207.1
3090,1.626762,1.59e-04,203.6
3100,2.396049,1.59e-04,210.2
3110,3.655573,1.59e-04,228.7
3120,3.032692,1.59e-04,190.6
3130,2.768279,1.58e-04,209.1
3140,2.439879,1.58e-04,207.7
3150,2.209232,1.58e-04,211.0
3160,2.299560,1.57e-04,201.9
3170,2.128556,1.57e-04,202.4
3180,1.973885,1.57e-04,202.9
3190,1.526287,1.57e-04,179.4
3200,2.050941,1.56e-04,207.1
3210,2.081303,1.56e-04,221.5
3220,1.789905,1.56e-04,200.3
3230,1.827757,1.56e-04,209.4
3240,1.510297,1.55e-04,192.7
3250,1.982037,1.55e-04,209.2
3260,1.880908,1.55e-04,212.8
3270,2.018046,1.54e-04,228.7
3280,1.929124,1.54e-04,210.2
3290,1.798489,1.54e-04,205.2
3300,1.655654,1.54e-04,202.2
3310,1.633748,1.53e-04,199.6
3320,2.014292,1.53e-04,222.7
3330,1.885301,1.53e-04,209.5
3340,1.497840,1.52e-04,197.3
3350,1.944348,1.52e-04,219.5
3360,2.038261,1.52e-04,231.2
3370,1.768420,1.52e-04,199.0
3380,1.881831,1.51e-04,221.5
3390,1.811271,1.51e-04,221.5
3400,1.902610,1.51e-04,234.8
3410,1.635925,1.50e-04,203.0
3420,1.904274,1.50e-04,216.1
3430,1.736811,1.50e-04,204.6
3440,1.623309,1.50e-04,199.7
3450,1.632812,1.49e-04,202.3
3460,1.575268,1.49e-04,201.5
3470,1.718487,1.49e-04,205.8
3480,1.867495,1.48e-04,234.1
3490,1.699383,1.48e-04,216.5
3500,1.520806,1.48e-04,194.3
3510,1.523578,1.48e-04,194.0
3520,1.776134,1.47e-04,209.9
3530,1.660855,1.47e-04,200.4
3540,1.565555,1.47e-04,200.3
3550,1.549394,1.46e-04,199.1
3560,1.656467,1.46e-04,202.7
3570,1.695197,1.46e-04,207.4
